JPT_SJR_KO,JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,Shape_Leng,Shape_Area,kod_woj,powiat_kod,gmina_rodz,X,Y
GMI,10264.000000000000000,"1202012",Borzęcin,0.770102071490000,0.012906174950000,"12","1202","2",20.713518,50.065749
GMI,5452.000000000000000,"1202052",Gnojnik,0.464887646410000,0.006880660000000,"12","1202","2",20.625871,49.891456
GMI,9629.000000000000000,"1219043",Niepołomice,0.804667953980000,0.012085942190000,"12","1219","3",20.228994,50.035690
GMI,12652.000000000000000,"1210133",Piwniczna-Zdrój,0.815404112010000,0.015676902100000,"12","1210","3",20.726731,49.432254
GMI,14536.000000000000000,"1210073",Krynica-Zdrój,0.884405367670000,0.018011124320000,"12","1210","3",20.981009,49.445354
GMI,6548.000000000000000,"1214023",Koszyce,0.633379307580000,0.008312357670000,"12","1214","3",20.562929,50.172791
GMI,6791.000000000000000,"1206042",Jerzmanowice-Przeginia,0.536664454030000,0.008582781030000,"12","1206","2",19.725401,50.211614
GMI,7126.000000000000000,"1207042",Jodłownik,0.595448483110000,0.009013041980000,"12","1207","2",20.232293,49.784241
GMI,6968.000000000000000,"1207082",Łukowica,0.527304259000000,0.008667021210000,"12","1207","2",20.452722,49.625515
GMI,3231.000000000000000,"1211132",Spytkowice,0.361089369980000,0.004004431570000,"12","1211","2",19.803889,49.571433
GMI,13658.000000000000000,"1217042",Kościelisko,0.723812958400000,0.016885644580000,"12","1217","2",19.852826,49.273376
GMI,5715.000000000000000,"1211062",Krościenko nad Dunajcem,0.483096955780000,0.007090667960000,"12","1211","2",20.393931,49.451064
GMI,6644.000000000000000,"1209013",Dobczyce,0.730042184660000,0.008304323100000,"12","1209","3",20.100374,49.875067
GMI,6160.000000000000000,"1209052",Raciechowice,0.561712584070000,0.007642533150000,"12","1209","2",20.177428,49.839712
GMI,6505.000000000000000,"1210052",Kamionka Wielka,0.543458704680000,0.008081100240000,"12","1210","2",20.824266,49.580980
GMI,8481.000000000000000,"1210102",Łososina Dolna,0.686118083540000,0.010571249240000,"12","1210","2",20.644172,49.737914
GMI,4068.000000000000000,"1219012",Biskupice,0.394212745330000,0.005154125550000,"12","1219","2",20.149539,49.960467
GMI,15258.000000000000000,"1212053",Olkusz,0.706736000350000,0.019026970330000,"12","1212","3",19.591489,50.267557
GMI,3526.000000000000000,"1217022",Biały Dunajec,0.421773232580000,0.004358366550000,"12","1217","2",19.999418,49.367286
GMI,11275.000000000000000,"1218093",Wadowice,0.726768078400000,0.014110799100000,"12","1218","3",19.503489,49.860051
GMI,10266.000000000000000,"1202023",Brzesko,0.807776468430000,0.012867075310000,"12","1202","3",20.612888,49.983484
GMI,3570.000000000000000,"1204012",Bolesław,0.357099081560000,0.004501509450000,"12","1204","2",20.873440,50.271623
